	Authors	Title	Publication	Volume	Number	Pages	Year	Publisher
1	Loth, Eva; Charman, Tony; Mason, Luke; Tillmann, Julian; Jones, Emily JH; Wooldridge, Caroline; Ahmad, Jumana; Auyeung, Bonnie; Brogna, Claudia; Ambrosino, Sara; 	The EU-AIMS Longitudinal European Autism Project (LEAP): design and methodologies to identify and validate stratification biomarkers for autism spectrum disorders	Molecular autism	8	1	1-19	2017	BioMed Central
2	Charman, Tony; Loth, Eva; Tillmann, Julian; Crawley, Daisy; Wooldridge, Caroline; Goyard, David; Ahmad, Jumana; Auyeung, Bonnie; Ambrosino, Sara; Banaschewski, Tobias; 	The EU-AIMS longitudinal european autism project (LEAP): clinical characterisation	Molecular autism	8	1	1-21	2017	BioMed Central
3	Müller, Nico; Baumeister, Sarah; Dziobek, Isabel; Banaschewski, Tobias; Poustka, Luise; 	Validation of the movie for the assessment of social cognition in adolescents with ASD: Fixation duration and pupil dilation as predictors of performance	Journal of autism and developmental disorders	46	NA	2831-2844	2016	Springer US
4	Bast, Nico; Poustka, Luise; Freitag, Christine M; 	The locus coeruleus–norepinephrine system as pacemaker of attention–a developmental mechanism of derailed attentional function in autism spectrum disorder	European Journal of Neuroscience	47	2	115-125	2018	
5	Müller, Nico; 	Eye tracking as a diagnostic tool in autism spectrum disorder		NA	NA		2017	Central Institute of Mental Health / Medical Faculty / Heidelberg University
6	Oldehinkel, Marianne; Mennes, Maarten; Marquand, Andre; Charman, Tony; Tillmann, Julian; Ecker, Christine; Dell’Acqua, Flavio; Brandeis, Daniel; Banaschewski, Tobias; Baumeister, Sarah; 	Altered connectivity between cerebellum, visual, and sensory-motor networks in autism spectrum disorder: results from the EU-AIMS longitudinal European autism project	Biological Psychiatry: Cognitive Neuroscience and Neuroimaging	4	3	260-270	2019	Elsevier
7	Tillmann, Julian; San José Cáceres, Antonia; Chatham, Chris H; Crawley, Daisy; Holt, Rosemary; Oakley, Bethany; Banaschewski, Tobias; Baron‐Cohen, Simon; Bölte, Sven; Buitelaar, Jan K; 	Investigating the factors underlying adaptive functioning in autism in the EU‐AIMS Longitudinal European Autism Project	Autism Research	12	4	645-657	2019	John Wiley & Sons, Inc. Hoboken, USA
8	Bast, Nico; Banaschewski, Tobias; Dziobek, Isabel; Brandeis, Daniel; Poustka, Luise; Freitag, Christine M; 	Pupil Dilation Progression Modulates Aberrant Social Cognition in Autism Spectrum Disorder	Autism Research	NA	NA		2019	John Wiley & Sons, Inc. Hoboken, USA
9	Boxhoorn, Sara; Bast, Nico; Super, Hans; Polzer, Leonie; Cholemkery, Hannah; Freitag, Christine M; 	Pupil dilation during visuospatial orienting differentiates between autism spectrum disorder and attention‐deficit/hyperactivity disorder	Journal of Child Psychology and Psychiatry	61	5	614-624	2020	
10	Kitzerow, Janina; Hackbusch, Matthes; Jensen, Katrin; Kieser, Meinhard; Noterdaeme, Michele; Fröhlich, Ulrike; Taurines, Regina; Geißler, Julia; Wolff, Nicole; Roessner, Veit; 	Study protocol of the multi-centre, randomised controlled trial of the Frankfurt Early Intervention Programme A-FFIP versus early intervention as usual for toddlers and preschool children with Autism Spectrum Disorder (A-FFIP study)	Trials	21	1	1-17	2020	BioMed Central
11	Bast, Nico; Mason, Luke; Freitag, Christine M; Smith, Tim; Portugal, Ana Maria; Poustka, Luise; Banaschewski, Tobias; Johnson, Mark; EU‐AIMS LEAP Group; 	Saccade dysmetria indicates attenuated visual exploration in autism spectrum disorder	Journal of Child Psychology and Psychiatry	62	2	149-159	2021	
12	Moessnang, Carolin; Baumeister, Sarah; Tillmann, Julian; Goyard, David; Charman, Tony; Ambrosino, Sara; Baron-Cohen, Simon; Beckmann, Christian; Bölte, Sven; Bours, Carsten; 	Social brain activation during mentalizing in a large autism cohort: the Longitudinal European Autism Project	Molecular autism	11	1	1-17	2020	BioMed Central
13	Baumeister, Sarah; Moessnang, Carolin; Bast, Nico; Hohmann, Sarah; Tillmann, Julian; Goyard, David; Charman, Tony; Ambrosino, Sara; Baron-Cohen, Simon; Beckmann, Christian; 	Attenuated anticipation of social and monetary rewards in autism spectrum disorders	BioRxiv	NA	NA	2020.07. 06.186650	2020	Cold Spring Harbor Laboratory
14	Kästel, Isabella S; Vllasaliu, Leonora; Wellnitz, Sophia; Cholemkery, Hannah; Freitag, Christine M; Bast, Nico; 	Repetitive behavior in children and adolescents: Psychometric properties of the German version of the repetitive behavior scale-revised	Journal of Autism and Developmental Disorders	51	NA	1224-1237	2021	Springer US
15	Bast, Nico; Freitag, Christine M; Boxhoorn, Sara; 	Attenuated Pupillary Response Mediates Slower Reaction Time in Autism Spectrum Disorder	INSAR 2020 Virtual Meeting	NA	NA		NA	INSAR
16	Bast, Nico; Mason, Luke; Freitag, Christine M; Portugal, Ana; Smith, Tim; Poustka, Luise; Banaschewski, Tobias; Johnson, Mark H; 	Saccade Velocity Dysmetria during Naturalistic Visual Exploration in Autism Spectrum Disorder	INSAR 2020 Virtual Meeting	NA	NA		NA	INSAR
17	Tillmann, Julian; Uljarevic, Mirko; Crawley, Daisy; Dumas, Guillaume; Loth, Eva; Murphy, Declan; Buitelaar, Jan; Charman, Tony; 	Dissecting the phenotypic heterogeneity in sensory features in autism spectrum disorder: a factor mixture modelling approach	Molecular autism	11	NA	1-15	2020	BioMed Central
18	Del Bianco, Teresa; Mason, Luke; Charman, Tony; Tillman, Julian; Loth, Eva; Hayward, Hannah; Shic, Frederick; Buitelaar, Jan; Johnson, Mark H; Jones, Emily JH; 	Temporal profiles of social attention are different across development in autistic and neurotypical people	Biological Psychiatry: Cognitive Neuroscience and Neuroimaging	6	8	813-824	2021	Elsevier
19	Crawley, Daisy; Zhang, Lei; Jones, Emily JH; Ahmad, Jumana; Oakley, Bethany; San José Cáceres, Antonia; Charman, Tony; Buitelaar, Jan K; Murphy, Declan GM; Chatham, Christopher; 	Modeling flexible behavior in childhood to adulthood shows age-dependent learning mechanisms and less optimal learning in autism in each age group	PLoS biology	18	10	e3000908	2020	Public Library of Science San Francisco, CA USA
20	Wellnitz, Sophia AC; Kästel, Isabella; Vllasaliu, Leonora; Cholemkery, Hannah; Freitag, Christine M; Bast, Nico; 	The Revised Children's Communication Checklist‐2 (CCC‐R): Factor Structure and Psychometric Evaluation	Autism Research	14	4	759-772	2021	John Wiley & Sons, Inc. Hoboken, USA
21	Floris, Dorothea L; Wolfers, Thomas; Zabihi, Mariam; Holz, Nathalie E; Zwiers, Marcel P; Charman, Tony; Tillmann, Julian; Ecker, Christine; Dell’Acqua, Flavio; Banaschewski, Tobias; 	Atypical brain asymmetry in autism—a candidate for clinically meaningful stratification	Biological Psychiatry: Cognitive Neuroscience and Neuroimaging	6	8	802-812	2021	Elsevier
22	Ecker, Christine; Pretzsch, Charlotte M; Bletsch, Anke; Mann, Caroline; Schaefer, Tim; Ambrosino, Sara; Tillmann, Julian; Yousaf, Afsheen; Chiocchetti, Andreas; Lombardo, Michael V; 	Interindividual differences in cortical thickness and their genomic underpinnings in autism spectrum disorder	American Journal of Psychiatry	179	3	242-254	2022	American Psychiatric Association Washington, DC
23	Bast, Nico; Boxhoorn, Sara; Supér, Hans; Helfer, Bartosz; Polzer, Leonie; Klein, Christoph; Cholemkery, Hannah; Freitag, Christine M; 	Atypical arousal regulation in children with autism but not with attention-deficit/hyperactivity disorder as indicated by pupillometric measures of locus coeruleus activity	Biological Psychiatry: Cognitive Neuroscience and Neuroimaging	NA	NA		2021	Elsevier
24	Klein, Christoph; Miczuga, Teresa; Kost, Marie Sophie; Röring, Hannah; Jarczok, Tomasz A; Bast, Nico; Thiemann, Ulf; Fleischhaker, Christian; Tebartz Van Elst, Ludger; Riedel, Andreas; 	An Alternative Short-version of the" Sensory Perception Quotient"(SPQ) by Tavassoli and Colleagues	Frontiers in Psychiatry	NA	NA	980	NA	Frontiers
25	Klein, Christoph; Miczuga, Teresa; Kost, Marie Sophie; Röring, Hannah; Jarczok, Tomasz A; Bast, Nico; Thiemann, Ulf; Fleischhaker, Christian; Van Elst, Ludger Tebartz; Riedel, Andreas; 	An German Short-Version of the “Sensory Perception Quotient” for Adults With Autism Spectrum Disorder	Frontiers in Psychiatry	13	NA		2022	Frontiers Media SA
26	Ambrosino, Sara; Elbendary, Hasnaa; Lequin, Maarten; Rijkelijkhuizen, Dominique; Banaschewski, Tobias; Baron-Cohen, Simon; Bast, Nico; Baumeister, Sarah; Buitelaar, Jan; Charman, Tony; 	In-depth characterization of neuroradiological findings in a large sample of individuals with autism spectrum disorder and controls	NeuroImage: Clinical	35	NA	103118	2022	Elsevier
27	Haartsen, Rianne; Mason, Luke; Garces, Pilar; Gui, Anna; Charman, Tony; Tillmann, Julian; Johnson, Mark H; Buitelaar, Jan K; Loth, Eva; Murphy, Declan; 	Qualitative differences in the spatiotemporal brain states supporting configural face processing emerge in adolescence in autism	cortex	155	NA	13-29	2022	Elsevier
28	Bast, Nico; Gaigg, Sebastian B; Bowler, Dermot M; Roessner, Veit; Freitag, Christine M; Ring, Melanie; 	Arousal‐modulated memory encoding and retrieval in adults with autism spectrum disorder	Autism Research	NA	NA		2022	John Wiley & Sons, Inc. Hoboken, USA
29	Klein, Christoph; Miczuga, Teresa; Röring, Hannah; Kost, Marie; Bast, Nico; Thiemann, U; Jarczok, TomaszA; Fleischhaker, C; van Elst, Ludger Tebartz; Riedel, Andreas; 	Sensorische Auffälligkeiten bei Autismus-Spektrum-Störung: Validierung und Adaptation des englischsprachigen „Sensory Perception Quotient “(SPQ) von Tavassoli und Kollegen	Fortschritte der Neurologie· Psychiatrie	NA	NA		2022	Georg Thieme Verlag
30	Polzer, Leonie; Freitag, Christine M; Bast, Nico; 	Pupillometric measures of altered stimulus‐evoked locus coeruleus‐norepinephrine activity explain attenuated social attention in preschoolers with autism spectrum disorder	Autism Research	15	11	2167-2180	2022	John Wiley & Sons, Inc. Hoboken, USA
31	Laidi, Charles; Floris, Dorothea L; Tillmann, Julian; Elandaloussi, Yannis; Zabihi, Mariam; Charman, Tony; Wolfers, Thomas; Durston, Sarah; Moessnang, Carolin; Dell’Acqua, Flavio; 	Cerebellar atypicalities in autism?	Biological Psychiatry	92	8	674-682	2022	Elsevier
32	Klein, Christoph; Miczuga, Teresa; Roring, Hannah; Kost, Marie; Bast, Nico; Thiemann, U; Jarczok, TomaszA; Fleischhaker, C; van Elst, Ludger Tebartz; Riedel, Andreas; 	Sensory Abnormalities in Autism Spectrum Disorder: Validation and Adaptation of the English-language Sensory Perception Quotient (SPQ) by Tavassoli and Colleagues	Forschritte Neurol. Psychiatr.	NA	NA		2022	GEORG THIEME VERLAG KG
33	Mason, L; Shic, F; Falck-Ytter, Terje; Chakrabarti, B; Charman, T; Loth, E; Tillmann, J; Banaschewski, T; Baron-Cohen, Simon; Bölte, S; 	Preference for biological motion is reduced in ASD: implications for clinical trials and the search for biomarkers	Molecular autism	12	1	1-13	2021	BioMed Central
34	Bast, Nico; 	Eye Tracking as a Diagnostic Tool in Autism Spectrum Disorder		NA	NA		2017	Ruprecht-Karls-Universität zu Heidelberg
35	Mei, Ting; Forde, Natalie J; Floris, Dorothea L; Dell’Acqua, Flavio; Stones, Richard; Ilioska, Iva; Durston, Sarah; Moessnang, Carolin; Banaschewski, Tobias; Holt, Rosemary J; 	Autism Is Associated With Interindividual Variations of Gray and White Matter Morphology	Biological Psychiatry: Cognitive Neuroscience and Neuroimaging	NA	NA		2022	Elsevier
36	Baumeister, Sarah; Moessnang, Carolin; Bast, Nico; Hohmann, Sarah; Aggensteiner, Pascal; Kaiser, Anna; Tillmann, Julian; Goyard, David; Charman, Tony; Ambrosino, Sara; 	Processing of social and monetary rewards in autism spectrum disorders	The British Journal of Psychiatry	222	3	100-111	2023	Cambridge University Press
37	Bast, Nico; Mason, Luke; Ecker, Christine; Baumeister, Sarah; Banaschewski, Tobias; Jones, Emily JH; Murphy, Declan GM; Buitelaar, Jan K; Loth, Eva; Pandina, Gahan; 	Sensory salience processing moderates attenuated gazes on faces in autism spectrum disorder: a case–control study	Molecular Autism	14	1	1-16	2023	BioMed Central
38	Bast, Nico; Banaschewski, Tobias; Dziobek, Isabel; Poustka, Luise; 	Naturalistic Assessment of Empathy and Social Cognition in Adolescents with Autism Spectrum Disorder		NA	NA		2017	
39	Hagemann, Dirk; Ihmels, Max; Bast, Nico; Neubauer, Andreas B; Schankin, Andrea; Schubert, Anna-Lena; 	Fluid Intelligence Is (Much) More than Working Memory Capacity: An Experimental Analysis	Journal of Intelligence	11	4	70	2023	MDPI
40	Bast, Nico; Polzer, Leonie; Raji, Naisan; Kleber, Solvejg Kassandra; Lemler, Christian; Kitzerow-Cleven, Janina; Kim, Ziyon; Freitag, Christine M; 	Naturalistic Developmental Behavioral Intervention (NDBI) Might Improve Joint Attention and Associated Neurophysiological Reactivity in Preschoolers with Autism Spectrum Condition	INSAR 2023	NA	NA		2023	INSAR
